company,stand_or_location,stand_code,profile_url,website,page_title,status,final_score,keyword_score,tfidf_similarity_0_100,relevance,matched_keywords,matched_by_category,score_ai_ml,score_embedded_hardware,score_robotics_autonomy,score_software_data,score_career_signal,x,y,zone,text,logo_original_url
Alpha Micro Components,Stand N6,N6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTg=,https://www.alphamicro.net,Alpha Micro Components,200,16.325,16.099,0.647,Low,"embedded, iot","embedded_hardware: embedded, iot",0.0,11.925,0.0,0.0,0.0,806.0,1156.2,main floor,"Alpha Micro Components | Stand N6 | Alpha Micro Components | Alpha Micro Components | Information | Alpha Micro pioneered design-based component distribution, with deep expertise in wireless technology and IoT connectivity. Since 1995, we have been a trusted distributor of positioning and communication solutions and are now part of Steliau Technology, extending our portfolio and expanding our access to advanced connectivity and embedded solutions. | Social media | Contact details | https://www.alphamicro.net | United Kingdom | Team | David Taylor Product Line Manager Alpha Micro Components Ltd | ID Imogen Dunne Marketing Assistant Alpha Micro Components | John FitzPatrick Sales Director Alpha Micro Components Ltd | MH Matt Hill Marketing Manager Alpha Micro Components Ltd | NT Nicola Tobin Divisional Manager of Embedded Technology Alpha Micro Components Ltd",https://static.swapcard.com/public/images/e072b7d938324866bc6d2a6f0eab03fb.png
Altium,Stand N7,N7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjM=,https://www.altium.com,Altium,200,8.559,8.559,0.0,Low,electronics,embedded_hardware: electronics,0.0,6.34,0.0,0.0,0.0,806.3,1083.4,main floor,"Altium | Stand N7 | Altium | Altium | Products & services | Team | Information | Altium Limited, part of the Renesas Group, is a global leader in modern electronics product creation, transforming how products are designed, built, and delivered. The Altium Platform connects every stakeholder, discipline, and phase of development—simplifying complexity and simplifying complexity and accelerating electronics-based product creation. With next-generation solutions—Altium Discover, Altium Develop, and Altium Agile—together with Altium 365 and Altium Designer, Altium empowers engineers and enterprises of all sizes to deliver smarter, more connected products faster than ever before. | Social media | Contact details | https://www.altium.com | United Kingdom | Altium Agile | Altium Develop | Octopart Discover | Daniel Markham Account Manager Altium | HK Hampus Karlsson Strategic Account Manager Altium UK Ltd | JP James Park Enterprise Account Manager Altium | Jan Grooten Field Applications Engineer - CID Altium - Renesas | JC Josh Chambers Sr. Product Marketing Manager Altium",https://static.swapcard.com/public/images/b728d88f74f343d6ab4826dc5083f66a.png
Ambient Scientific,Sponsor Only,Sponsor Only,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjU4ODY=,https://www.ambientscientific.ai/,Ambient Scientific,200,3.578,2.6,2.793,Low,ai,ai_ml: ai,2.0,0.0,0.0,0.0,0.0,,,not plotted,"Ambient Scientific | Sponsor Only | Ambient Scientific | Ambient Scientific | Sessions | Team | Contact details | https://www.ambientscientific.ai/ | Energy-Aware Intelligence for the Physical World Wednesday, June 10, 2026 12:00 PM to 12:30 PM Conference Theatre 3 Gajendra Singh · Ambient Scientific Inc | Energy-Aware Intelligence for the Physical World | GS Gajendra Singh CEO Ambient Scientific Inc",https://static.swapcard.com/public/images/962b0d65281a4c7297c459518ad90a0e.png
Analog Devices,Stand N4,N4,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MzcwMzI=,https://www.analog.com/en/index.html,Analog Devices,200,0.0,0.0,0.0,No clear match,,,0.0,0.0,0.0,0.0,0.0,808.0,1344.0,main floor,Analog Devices | Stand N4 | Analog Devices | Analog Devices | Contact details | https://www.analog.com/en/index.html | Team | AK Abinaya Karki FAE Analog Devices | DP Dev Patel Sales Director Analog Devices | GE Gareth England Account Manager Analog devices | KK Kornel Kovacs Field Applications Engineer Analog Devices | LP Louise Paul Event Manager Mouser,https://static.swapcard.com/public/images/b44fa2e97e8b4fa686a39bc8565f6bec.png
Anglia Live,Stand H8,H8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDg=,https://www.anglia-live.com,Anglia Live,200,27.202,26.549,1.867,Medium,"ai, electronics, robotics",ai_ml: ai; embedded_hardware: electronics; robotics_autonomy: robotics,3.17,6.34,11.095,0.0,0.0,553.8,914.1,main floor,"Anglia Live | Stand H8 | Anglia Live | Anglia Live | Sessions | Team | Information | Anglia Components Plc is the UK’s leading independent authorised distributor of semiconductors, optoelectronics, interconnect, passive and electromechanical components. A signatory of the ADS SC21 programme, the company holds AS9120, ISO9001 & ISO14001 accreditations. | Anglia stocks over 2 billion components from more than 1.3 million product lines in the UK, ready for same-day dispatch. | With anglia-live being our online ordering service, including:- | • Enhanced Parametric search engine | • Live inventory | • Live Pricing | • Same Day Despatch | Social media | Contact details | https://www.anglia-live.com | GB | Powering the Physical AI Revolution: A System Approach to Robotics Wednesday, June 10, 2026 11:20 AM to 11:50 AM Conference Theatre 3 Stephan Ihmels · STMicroelectronics | Powering the Physical AI Revolution: A System Approach to Robotics | Industrial protocols handling: from IT down to the factory floor Thursday, June 11, 2026 11:20 AM to 11:50 AM Conference Theatre 2 Natale Testa · STMircroelectronics | Industrial protocols handling: from IT down to the factory floor | Redefining Power for the Next Generation of Electronics Thursday, June 11, 2026 12:40 PM to 1:10 PM Conference Theatre 3 | Redefining Power for the Next Generation of Electronics | AP Andrew Pockson Engineering Manager Anglia Live | AK Aseer Khalid Account Manager - Aerospace, Defense & Space STMicroelectronics | BC Ben Clarke GEO North Sales | Sales Account Manager STMicroelectronics | CJ Claire Joyce Sales Director - Anglia Europe/China Anglia Live | DP David Pearson Technical Director Anglia Components Plc",https://static.swapcard.com/public/images/c94f02c2a46e4612bb7e304ecaf5d2af.png
Ansmann UK,Stand Q15,Q15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjQ=,https://www.ansmann.de/en,Ansmann UK,200,11.584,11.419,0.472,Low,"control systems, hardware",embedded_hardware: hardware; robotics_autonomy: control systems,0.0,4.755,4.0,0.0,0.0,1072.2,718.8,main floor,"Ansmann UK | Stand Q15 | Ansmann UK | Ansmann UK | Products & services | Team | Information | Ansmann is a global provider of advanced mobile power solutions, integrating German engineering, UK technical support, and high‑volume manufacturing in China to deliver robust, high‑performance power solutions for modern hardware applications. | At Ansmann UK, we provide local expertise backed by global capability. Our UK office offers dedicated sales and customer support, while our UK warehouse ensures a wide range of standard products are available for immediate despatch. We also operate our own UK testing and inspection facilities, working in conjunction with Ansmann’s worldwide quality control systems. Our UK teams are always ready to support you. | With over 30 years of experience, Ansmann supplies both off‑the‑shelf and fully customised power solutions, including high‑performance rechargeable batteries, chargers, and power supplies. Our integrated approach covers design, prototyping, testing, approvals, and mass production, ensuring competitive pricing without compromising on quality or safety. | At Hardware Pioneers Max 2026, we’re showcasing how Ansmann UK helps innovators bring their products to life with dependable, future‑ready mobile energy solutions. | Social media | Contact details | https://www.ansmann.de/en | United Kingdom | Standard Li-Ion Battery Packs | Intelligent Programmable Battery Chargers | Standard Alkaline & Lithium Primary Batteries | Speciality Batteries | Standard Rechargeable NiMH Batteries | Rechargeable Li-Ion Batteries | Industrial Rechargeable NiMH Batteries | Rechargeable Battery Chargers | Powerbanks & USB Products | Universal Power Supplies | GT Gary Thomasson Sales Director - Industrial Solutions Ansmann UK Ltd | Michael Gates Business Development Manager Ansmann UK Ltd | PC Paul Channell Managing Director ANSMANN UK LTD",https://static.swapcard.com/public/images/cdacb924288844e5aed566c68bdad875.png
Apitronix Semiconductor,Startup Zone,Startup Zone,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk3ODk=,https://apitronix.com/,Apitronix Semiconductor,200,20.591,20.449,0.406,Low,"semiconductor, software",embedded_hardware: semiconductor; software_data: software,0.0,12.925,0.0,3.0,0.0,307.5,984.0,startup zone,"Apitronix Semiconductor | Startup Zone | Apitronix Semiconductor | Apitronix Semiconductor | Information | The World's Most Powerful Real-Time Processor. | With 220 compact and efficient RISC-V cores running with true determinism Apitronix Cerebellum can simplify the most complex and demanding true real-time tasks, saving cost and bringing products to market faster. | It allows simpler safety cases, and dramatically reduces software ""brittleness"". | Social media | Contact details | https://apitronix.com/ | United Kingdom | Products & services | Cerebellum | Team | Ed French CEO Founder Apitronix Semiconductor | KT Ken Tindell CTO Founder Apitronix Semiconductor",https://static.swapcard.com/public/images/d75d06fcceb24c7692ccd023ee7c59d5.png
Ardencraft Technology,Stand G3,G3,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjI=,https://www.ardencraft.com,Ardencraft Technology,200,9.805,9.45,1.015,Low,"hardware, iot","embedded_hardware: hardware, iot",0.0,7.0,0.0,0.0,0.0,461.4,1408.4,main floor,"Ardencraft Technology | Stand G3 | Ardencraft Technology | Ardencraft Technology | Information | Ardencraft Technology stands as the direct engineering and manufacturing bridge between the UK and Shenzhen. We work with high-growth hardware startups, IoT innovators, and scaling e-commerce brands to take products from initial concept or prototype through high-volume mass production. | Our team has 32+ years of hands-on engineering experience. We’re engineers first, so we don’t just hand files over to factories. We handle the mechanical, electronic, and DFM details ourselves to ensure the design can be built properly. Products are designed to last and be repairable, not thrown away. | We run the whole process with an 8-gate system and work only with ISO 9001-certified factories in China that we’ve vetted ourselves. UK-based project managers check in daily, so communication gaps, time zones, and quality issues don’t hold things up. You run the business. We handle production | Social media | Contact details | https://www.ardencraft.com | United Kingdom | Products & services | Engineering Design Services | Chinese Manufacturing Readiness Check (CMRC) Frameworks | NPI Project Management | Team | Joel Rogers Sales Associate Ardencraft Technology",https://static.swapcard.com/public/images/30aa1bc5a8d34912886356cf0c45d996.png
Arrow,Stand L8,L8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzA=,https://www.arrow.com,Arrow,200,30.353,29.955,1.136,Medium,"electronics, fpga, mcu","embedded_hardware: electronics, fpga, mcu",0.0,22.189,0.0,0.0,0.0,652.4,765.6,main floor,"Arrow | Stand L8 | Arrow | Arrow | Sessions | Team | Information | Arrow Electronics (NYSE:ARW) sources and engineers technology solutions for thousands of leading manufacturers and service providers. With 2025 sales of $31 billion, Arrow’s portfolio enables technology across major industries and markets. Learn more at arrow.com. | Social media | Contact details | https://www.arrow.com | USA | How the Cyber Resilience Act influences MCU / SoC / FPGA selection Wednesday, June 10, 2026 10:40 AM to 11:10 PM Conference Theatre 2 | How the Cyber Resilience Act influences MCU / SoC / FPGA selection | Beyond the Datasheet: How Real Power Designs Get Built When Requirements Don't Fit the Parts Wednesday, June 10, 2026 2:00 PM to 2:30 PM Conference Theatre 2 Rawad Kuwidir · eInfochips Amit Sadhu · eInfochips | Beyond the Datasheet: How Real Power Designs Get Built When Requirements Don't Fit the Parts | AP Abhinav Pandya Head of Sales Nordic eInfochips | AS Amit Sadhu Director of Sales – Central Europe eInfochips | BF Brendan Free Sales Manager Arrow Central Europe GmbH | EK Edward Keith Regional Sales Manager – UK & Nordics Bel Fuse Inc. | GS George Sephton Market Development Engineer Arrow Electronics",https://static.swapcard.com/public/images/86ebf1fcc22a4b069b0aefdcf878ec63.png
ASK Technology,Stand A18,A18,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjg=,https://www.asktechnology.co.uk,ASK Technology,200,11.332,11.15,0.519,Low,"pcb, placement",embedded_hardware: pcb; career_signal: placement,0.0,4.0,0.0,0.0,5.0,70.0,676.9,main floor,"ASK Technology | Stand A18 | ASK Technology | ASK Technology | Information | ASK Technology is a specialist PCB assembly focused on prototyping, NPI, R&D, start-up and pre-production needs. | Catering for low volumes and sporadic requirements, we always have capacity and flexibility to build no matter how short notice. | Full Design For Manufacture reporting provided, quoting within 24 hours, various procurement options from free issue to full sourcing, assembly within 24 hours and no minimum order quantity. | Machine builds, placement of any fine pitch components and 100% AOI/X-ray with every board on every job. | Social media | Contact details | https://www.asktechnology.co.uk | United Kingdom | Team | AC Andrew Clisby Director ASK Technology Ltd | AN Arun Neupane Account Manager ASK Technology Limited | Josh Clisby Account Manager ASK Technology Ltd | KP Karl Pearson Director ASK Technology Ltd | PG Paul Gavin Commercial Manager ASK Technology Limited",https://static.swapcard.com/public/images/9761bd6b98e14c06921181eabae1b121.png
Astute Electronics,Stand H6,H6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjk=,https://www.astutegroup.com,Astute Electronics,200,37.852,37.7,0.433,Medium,"ai, electronics, iot, semiconductor","ai_ml: ai; embedded_hardware: electronics, iot, semiconductor",2.0,26.0,0.0,0.0,0.0,553.8,637.5,main floor,"Astute Electronics | Stand H6 | Astute Electronics | Astute Electronics | Products & services | Team | Information | Global authorised distribution, genuine components, and technical advice you can trust. | Astute’s goal is clear: bring more emerging high-potential manufacturers to market and empower engineers to innovate faster, smarter, and with far lower risk. Our design-led approach to authorised electronics distribution harnesses decades of experience across 150 franchised lines in AI compute, sensing & IoT, memory, power, optoelectronics, passives & discrete, fibre optics, and much more, all backed by direct relationships with our manufacturers. | Social media | Contact details | https://www.astutegroup.com | United Kingdom | Alif Semiconductor | RLS Merilna | ELVIN | Azoteq | SCI Semiconductor | Adriana Slovikova Sales, Marketing & Purchasing Manager ELVIN & Co․ s․ r․ o․ | AF Andrew FRAME VP Marketing & Product SCI Semiconductor | AP Andrew Parker ABM Manager Astute Electronics Ltd | AB Anil Burra Technical Business Development Manager Astute Electronics Ltd | BW Ben White Marketing Assistant Astute Electronics Ltd",https://static.swapcard.com/public/images/09928afd42584da1bad6c140c167bb14.png
Asunny Circuits,Stand A7,A7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzQ=,https://asunnypcb.com,Asunny Circuits,200,12.539,12.539,0.0,Low,pcb,embedded_hardware: pcb,0.0,9.288,0.0,0.0,0.0,70.0,1344.9,main floor,"Asunny Circuits | Stand A7 | Asunny Circuits | Asunny Circuits | Products & services | Team | Information | Founded in 1996, Asunny Circuits is a leading PCB manufacturer based in China, specialising in PCB manufacturing. Our sales office is based in Shenzhen and Factory based in Jiujiang. We manufacture over 3 million m2 of boards every year, supplying to industry leaders such as BYD, Huawei, SAIC, Meta, NVT and Sunwoda etc. | Social media | Contact details | https://asunnypcb.com | China | PCB/FPCB/Rigid-Flex PCB | LD Liwei Dai Technical Consultant Jiangxi Asunny Circuits Limited | RL Rebecca Lu International Sales Manager Jiangxi Asunny Circuits Limited",https://static.swapcard.com/public/images/c7dfba9982184da8b848a575034d7181.png
Atlas Procurement Solution,Stand C9,C9,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTk=,https://www.atlasprocurementsolution.com,Atlas Procurement Solution,200,3.096,3.0,0.275,Low,software,software_data: software,0.0,0.0,0.0,3.0,0.0,200.1,727.0,main floor,"Atlas Procurement Solution | Stand C9 | Atlas Procurement Solution | Atlas Procurement Solution | Products & services | Team | Information | We work with organisations to strengthen sourcing, supplier management, and cost control through practical, experience-led approaches. The focus is on identifying where value is being lost, addressing structural inefficiencies, and putting in place processes that are sustainable over time. | Our work draws on a global supplier network and hands-on experience across contract manufacturing, electronic components, raw materials, global Logistics, and enterprise software. | Rather than short term savings exercises, we help build procurement functions that are commercially sharper, more resilient, and better aligned to the needs of the business. | Social media | Contact details | https://www.atlasprocurementsolution.com | Procurement Consultancy | DH David Herd Contractor Array Display | KJ Kevin Johnson Contractor Array Display | PR Peter Robertson Contractor Array Display | Simon Moody Procurement Implementation Director Atlas Procurement Solution Ltd | SM Simon Moody Procurement Implementation Director Atlas Procurement Solution",https://static.swapcard.com/public/images/8e8d0a1dc8be477d8f09494a14106321.png
AutoPCB,Stand G6,G6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTcwODU=,https://autopcb.app/,AutoPCB,200,3.144,3.0,0.412,Low,software,software_data: software,0.0,0.0,0.0,3.0,0.0,461.2,1153.6,main floor,"AutoPCB | Stand G6 | AutoPCB | AutoPCB | Information | AutoPCB makes designing in new ICs faster with dynamic datasheets. Our software makes electronic product development faster by eliminating the bottleneck of complex component datasheets. Engineers enter their application requirements and instantly receive a tailored reference design, complete with an optimized schematic and Bill of Materials ready to export. Less time buried in documentation. More time building. | Social media | Contact details | https://autopcb.app/ | Products & services | Dynamic reference design | Team | Caspian Chaharom Electrical engineer AutoPCB | PS Pete Sopcik CEO AutoPCB",https://static.swapcard.com/public/images/4203200e27d34c828dddda4b297be4d1.png
