rank,company,stand_or_location,profile_url,website_or_contact,page_title,status,final_score,keyword_score,tfidf_similarity_0_100,relevance,matched_keywords,matched_by_category,text_preview,score_ai_ml,score_embedded_hardware,score_robotics_autonomy,score_software_data,score_career_signal
12,Chevin Technology,Startup Zone,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk3OTk=,https://www.chevintechnology.com,Chevin Technology,200,22.714,22.2,1.468,Low,"electronics, hardware, semiconductor, software","embedded_hardware: electronics, hardware, semiconductor; software_data: software","Chevin Technology | Information | Chevin Technology develops patented semiconductor security IP that addresses the most critical unsolved problem in electronics supply chains: the inability to verify that a device is genuine, unmodified and trustworthy at the hardware level. Where software security stops at the software boundary, ChevinID™ embeds identity and integrity verification directly into silicon — compact enough to integrate without material area overhead, and resilient enough to remain ",0.0,12.0,0.0,6.0,0.0
13,Apitronix Semiconductor,Startup Zone,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk3ODk=,https://apitronix.com/,Apitronix Semiconductor,200,20.591,20.449,0.406,Low,"semiconductor, software",embedded_hardware: semiconductor; software_data: software,"Apitronix Semiconductor | Information | The World's Most Powerful Real-Time Processor. | With 220 compact and efficient RISC-V cores running with true determinism Apitronix Cerebellum can simplify the most complex and demanding true real-time tasks, saving cost and bringing products to market faster. | It allows simpler safety cases, and dramatically reduces software ""brittleness"". | Social media | Contact details | https://apitronix.com/ | United Kingdom | Products & services | Cerebellum | Tea",0.0,12.925,0.0,3.0,0.0
14,Alliot,Stand B10,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTY=,https://www.alliot.co.uk,Alliot,200,19.739,19.589,0.428,Low,"hardware, iot, software","embedded_hardware: hardware, iot; software_data: software","Alliot | Information | We are the UK and Europe’s leading distributor of IoT solutions. We work with a variety of key partners across the globe to bring you the best in LoRaWAN, cellular LPWAN and IoT business solutions. Our team specialise in LPWAN. We pride ourselves on being at the very forefront of the latest IoT developments, supporting the best-in-class hardware, software and services. Our main technology areas include: LoRaWAN®, NB-IoT and CAT-M1 also known as LTE-M. | Contact details | h",0.0,12.288,0.0,3.0,0.0
15,Challenger Solutions,Stand C16,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDQ=,https://www.challengersolutions.com,Challenger Solutions,200,19.494,19.359,0.386,Low,"electronics, pcb","embedded_hardware: electronics, pcb","Challenger Solutions | Information | Challenger Solutions Ltd | Precision Contract Electronics Manufacturing | With over 30 years of experience, Challenger Solutions Ltd is a trusted UK-based electronics manufacturing partner delivering high-quality, high-reliability solutions across aerospace, defence, medical, and industrial sectors. | From prototype and new product introduction (NPI) through to full-scale production and complete box build, we provide end-to-end manufacturing services designed",0.0,14.34,0.0,0.0,0.0
16,Chipletti,Startup Zone,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk2Njc=,https://www.chipletti.com/,Chipletti,200,19.242,17.787,4.158,Low,"ai, data, semiconductor, software","ai_ml: ai; embedded_hardware: semiconductor; software_data: data, software","Chipletti | Team | Information | Chipletti is a UK-based fabless semiconductor company building chiplet-based AI accelerator platforms for Physical AI systems such as drones and robots. Our architecture is designed to deliver step-change improvements in performance per watt by minimizing data movement, enabling AI models to run faster, more efficiently, and with predictable timing. By combining efficient, deterministic execution with a model-friendly software stack, Chipletti enables real-time P",4.644,5.0,0.0,5.0,0.0
17,Alif Semiconductor,Stand H6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NzQ1NjI=,https://alifsemi.com/,Alif Semiconductor,200,17.449,17.449,0.0,Low,semiconductor,embedded_hardware: semiconductor,Alif Semiconductor | Contact details | https://alifsemi.com/ | Team | HF Henrik Flodell Sr. Product Marketing Director Alif Semiconductor | MS Mikko Saarnivala Marketing Director Alif Semiconductor,0.0,12.925,0.0,0.0,0.0
18,Alpha Micro Components,Stand N6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTg=,https://www.alphamicro.net,Alpha Micro Components,200,16.325,16.099,0.647,Low,"embedded, iot","embedded_hardware: embedded, iot","Alpha Micro Components | Information | Alpha Micro pioneered design-based component distribution, with deep expertise in wireless technology and IoT connectivity. Since 1995, we have been a trusted distributor of positioning and communication solutions and are now part of Steliau Technology, extending our portfolio and expanding our access to advanced connectivity and embedded solutions. | Social media | Contact details | https://www.alphamicro.net | United Kingdom | Team | David Taylor Product ",0.0,11.925,0.0,0.0,0.0
19,Brainboxes,Stand Q14,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTM=,https://www.brainboxes.com,Brainboxes,200,15.912,15.32,1.692,Low,"data, embedded, iot","embedded_hardware: embedded, iot; software_data: data","Brainboxes | Products & services | Team | Information | Optimising production lines, mastering machine monitoring, reliably collecting data: Brainboxes simple, secure industrial connectivity lets you focus on what matters. | Experience our brand-new, interactive “Inside the Cabinet” feature to preview pre-launch products and prototypes, and get hands-on with the latest releases. We’ve also got the same trusted Network Switches, Ethernet to Serial adapters, and best-in-class IoT modules to keep d",0.0,9.0,0.0,3.17,0.0
20,Esprit Electronics,Stand F9,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTQ=,https://espritelectronics.com,Esprit Electronics,200,15.159,15.159,0.0,Low,electronics,embedded_hardware: electronics,Esprit Electronics | Information | Contact details | https://espritelectronics.com | Team | LS Laurie Sigournay Managing Director Esprit Electronics | MS Mike Sprague Senior Account Manager Esprit Electronics | RO Russell Otter Sales Director Esprit Electronics,0.0,11.229,0.0,0.0,0.0
21,Win Source,Stand N5,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2OTA=,https://www.win-source.net,Win Source,200,13.959,13.959,0.0,Low,electronics,embedded_hardware: electronics,"Win Source | Information | Since 1999, WIN SOURCE has consistently helped customers quickly and accurately find obsolete, end-of-life, and hard-to-find parts, as well as acquire commonly used parts at competitive prices. Our store features over 1 million obsolete and conventional parts, we are committed to guaranteeing 24-hour lightning delivery and 3-year warranty. WIN SOURCE was ranked 16th in SourceToday's ""Top 50 Electronic Component Distributors in the World"" list in 2024.Our business scope",0.0,10.34,0.0,0.0,0.0
22,Bloomice,Stand G4,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTI=,https://www.bloomice.com,Bloomice,200,13.16,12.4,2.17,Low,"automation, data, iot",embedded_hardware: iot; robotics_autonomy: automation; software_data: data,"Bloomice | Team | Information | Enabling Reliable Wireless Connectivity | Bloomice is a specialist engineering company focused on the design, development, and delivery of high-performance antenna systems, RF circuitry, and bespoke cable assemblies for modern wireless communication systems. Our solutions support the rapidly expanding world of connected devices, enabling reliable data transmission across industrial, IoT, infrastructure, and advanced technology applications. | For more than two dec",0.0,4.0,4.0,2.0,0.0
23,Asunny Circuits,Stand A7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzQ=,https://asunnypcb.com,Asunny Circuits,200,12.539,12.539,0.0,Low,pcb,embedded_hardware: pcb,"Asunny Circuits | Products & services | Team | Information | Founded in 1996, Asunny Circuits is a leading PCB manufacturer based in China, specialising in PCB manufacturing. Our sales office is based in Shenzhen and Factory based in Jiujiang. We manufacture over 3 million m2 of boards every year, supplying to industry leaders such as BYD, Huawei, SAIC, Meta, NVT and Sunwoda etc. | Social media | Contact details | https://asunnypcb.com | China | PCB/FPCB/Rigid-Flex PCB | LD Liwei Dai Technical C",0.0,9.288,0.0,0.0,0.0
24,BCD Atlantik,Stand D1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDI=,https://bcdatlantik.co.uk/en,BCD Atlantik,200,12.287,12.15,0.39,Low,"embedded, iot","embedded_hardware: embedded, iot","BCD Atlantik | Team | Information | BCD Atlantik is a UK-based provider of electronic components and technologies to businesses. We offer a range of services and products that deliver benefit to customers along their entire value chain, from early stage design support & problem solving, to supplying components for deployable products, and everything in between. | With long-standing relationships with key global suppliers, we have a focus on embedded processing, wireless communications, connectiv",0.0,9.0,0.0,0.0,0.0
25,Bittium,Stand B15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDc=,https://www.bittium.com,Bittium,200,11.728,11.171,1.591,Low,"ai, hardware, software",ai_ml: ai; embedded_hardware: hardware; software_data: software,"Bittium | Information | Bittium – Engineering ServicesWith over 40 years of experience in secure wireless technology, Bittium provides innovative, high-quality product development services for secure wireless devices. Our comprehensive expertise covers all areas in hardware and software development, ensuring reliability and performance. Supported by state-of-the-art testing services and laboratories, we deliver turnkey projects covering the full product lifecycle. Bittium also provides reliable ",3.17,3.0,0.0,3.0,0.0
26,Ansmann UK,Stand Q15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjQ=,https://www.ansmann.de/en,Ansmann UK,200,11.584,11.419,0.472,Low,"control systems, hardware",embedded_hardware: hardware; robotics_autonomy: control systems,"Ansmann UK | Products & services | Team | Information | Ansmann is a global provider of advanced mobile power solutions, integrating German engineering, UK technical support, and high‑volume manufacturing in China to deliver robust, high‑performance power solutions for modern hardware applications. | At Ansmann UK, we provide local expertise backed by global capability. Our UK office offers dedicated sales and customer support, while our UK warehouse ensures a wide range of standard products are",0.0,4.755,4.0,0.0,0.0
27,ASK Technology,Stand A18,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjg=,https://www.asktechnology.co.uk,ASK Technology,200,11.332,11.15,0.519,Low,"pcb, placement",embedded_hardware: pcb; career_signal: placement,"ASK Technology | Information | ASK Technology is a specialist PCB assembly focused on prototyping, NPI, R&D, start-up and pre-production needs. | Catering for low volumes and sporadic requirements, we always have capacity and flexibility to build no matter how short notice. | Full Design For Manufacture reporting provided, quoting within 24 hours, various procurement options from free issue to full sourcing, assembly within 24 hours and no minimum order quantity. | Machine builds, placement of a",0.0,4.0,0.0,0.0,5.0
28,BEC Group,Stand S8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAxODM=,https://www.becgroup.com,BEC Group,200,10.991,10.8,0.547,Low,"electronics, sensors","embedded_hardware: electronics, sensors","BEC Group | Products & services | Team | Information | Established in 1978, BEC Group is a UK-based tooling and plastic injection moulding specialist. | From custom plastic housings to ruggedised enclosures and overmoulded sensors, we work closely with electronics brands, to bring their designs to life. | We collaborate closely with designers and engineers, providing Design for Manufacture expertise to optimise performance and cost. | With all tooling and moulding carried out in-house in Hampshi",0.0,8.0,0.0,0.0,0.0
29,BSI Group,Stand A15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTQ=,https://www.bsigroup.com/en-GB,BSI Group,200,10.8,10.8,0.0,Low,iot,embedded_hardware: iot,"BSI Group | Products & services | Sessions | Team | Information | BSI’s state-of-the-art product testing labs help manufacturers ensure their internet-connected devices meet EU RED and UK PSTI cybersecurity requirements. Our experts rigorously test wireless, IoT, and smart technologies to validate security, performance, and compliance.For manufacturers looking to demonstrate trusted quality and cybersecurity, we also offer BSI Kitemark™ certification – a globally recognized symbol of excellence.",0.0,8.0,0.0,0.0,0.0
30,Ardencraft Technology,Stand G3,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjI=,https://www.ardencraft.com,Ardencraft Technology,200,9.805,9.45,1.015,Low,"hardware, iot","embedded_hardware: hardware, iot","Ardencraft Technology | Information | Ardencraft Technology stands as the direct engineering and manufacturing bridge between the UK and Shenzhen. We work with high-growth hardware startups, IoT innovators, and scaling e-commerce brands to take products from initial concept or prototype through high-volume mass production. | Our team has 32+ years of hands-on engineering experience. We’re engineers first, so we don’t just hand files over to factories. We handle the mechanical, electronic, and DF",0.0,7.0,0.0,0.0,0.0
31,2J Antennas & Antenova,Stand G2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDY=,https://www.antenova.com,2J Antennas & Antenova,200,9.461,9.15,0.888,Low,"iot, navigation",embedded_hardware: iot; robotics_autonomy: navigation,"2J Antennas & Antenova | Information | 2J Antennas, a global recognised leader in antenna solutions trusted for delivering advanced technologies to power the connected world. We drive innovation and provide high-quality products and services leveraging cutting-edge technologies to meet the demands of the rapidly involving wireless industry. Our solutions cater to a wide range of including 5G/4G-LTE/Wi-Fi, Iridium Communications, GPS/GNSS/BeiDou frequencies and more serving industries such as Nav",0.0,4.0,3.0,0.0,0.0
32,COAX Connectors,Stand A24,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDY=,https://coax-connectors.com,COAX Connectors,200,9.45,9.45,0.0,Low,"hardware, pcb","embedded_hardware: hardware, pcb","COAX Connectors | Information | COAX Connectors specialises in the design, manufacture, and supply of high performance 50-ohm and 75-ohm RF connectors. We provide a fast turn-around on cable assemblies and many of our connectors are available from stock. If you have a requirement for a bespoke connector, our UK based design engineers can work with you from initial problem solving, through design concepts and prototyping, to supplying a qualified production part. | We manufacture a wide range of ",0.0,7.0,0.0,0.0,0.0
33,Cicor Group,Stand P1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI3NDM=,https://www.cicor.com,Cicor Group,200,8.779,8.559,0.628,Low,electronics,embedded_hardware: electronics,"Cicor Group | Products & services | Team | Information | Cicor is a global leader in the design and manufacturing of advanced electronic solutions. Serving the healthcare technology, industrial electronics and aerospace & defence sectors, our full-cycle approach combines engineering excellence with high-precision production to bring ideas to life. Together with our customers, we create electronics that make the world a healthier, more connected and safer place. | Social media | Contact details |",0.0,6.34,0.0,0.0,0.0
34,PCBWay,Stand S10,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjYyNTE=,https://www.pcbway.com/4fr,PCBWay,200,8.711,8.559,0.435,Low,pcb,embedded_hardware: pcb,"PCBWay | Products & services | Team | Information | PCBWay is a global EMS company specializing in PCB and PCBA production. We offer services from prototyping to mass production, supporting your projects through design, engineering, and manufacturing. With a dedicated team in France and some European EMS partners, we provide tailored value-added services to help bring your innovations to life. | Social media | Contact details | https://www.pcbway.com/4fr | France | Advanced PCB and Assembly Serv",0.0,6.34,0.0,0.0,0.0
35,Altium,Stand N7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjM=,https://www.altium.com,Altium,200,8.559,8.559,0.0,Low,electronics,embedded_hardware: electronics,"Altium | Products & services | Team | Information | Altium Limited, part of the Renesas Group, is a global leader in modern electronics product creation, transforming how products are designed, built, and delivered. The Altium Platform connects every stakeholder, discipline, and phase of development—simplifying complexity and simplifying complexity and accelerating electronics-based product creation. With next-generation solutions—Altium Discover, Altium Develop, and Altium Agile—together with A",0.0,6.34,0.0,0.0,0.0
36,Caligra,Stand A12,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTg3NzM=,https://caligra.com/c100/,Caligra,200,6.387,6.0,1.105,Low,"linux, software","software_data: linux, software","Caligra | Products & services | Team | Information | Computers for Experts | We think the world needs a brand of computing that stands behind creative technical work, dedicated to creating instead of consuming. | The c100 Developer Terminal is purpose built for Workbench, a Linux-based operating system designed to accelerate your work. | Our goal is to help you make the future. | Social media | Contact details | https://caligra.com/c100/ | c100 Developer Terminal | Workbench OS | GB Grant Bisset",0.0,0.0,0.0,6.0,0.0
37,Avnet Abacus,Stand H1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzY=,https://my.avnet.com/abacus,Avnet Abacus,200,5.4,5.4,0.0,Low,sensor,embedded_hardware: sensor,"Avnet Abacus | Information | Avnet Abacus is a leading European distributor specializing in interconnect, passive, electromechanical, power supply, energy storage, wireless, and sensor products. With a strong presence in the market, we have established ourselves as a reliable and trusted partner for manufacturers, designers, and engineers across various industries. | Social media | Contact details | https://my.avnet.com/abacus | USA | Products & services | Product Highlights | Team | AR Andrew R",0.0,4.0,0.0,0.0,0.0
38,Ambient Scientific,Sponsor Only,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjU4ODY=,https://www.ambientscientific.ai/,Ambient Scientific,200,3.578,2.6,2.793,Low,ai,ai_ml: ai,"Ambient Scientific | Sessions | Team | Contact details | https://www.ambientscientific.ai/ | Energy-Aware Intelligence for the Physical World Wednesday, June 10, 2026 12:00 PM to 12:30 PM Conference Theatre 3 Gajendra Singh · Ambient Scientific Inc | Energy-Aware Intelligence for the Physical World | GS Gajendra Singh CEO Ambient Scientific Inc",2.0,0.0,0.0,0.0,0.0
39,Bulgin,Stand C6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTM=,https://www.bulgin.com,Bulgin,200,3.544,3.17,1.069,Low,data,software_data: data,"Bulgin | Products & services | Team | Information | Bulgin is a globally recognised manufacturer specialising in environmentally sealed connectors and electronic components designed for demanding and harsh environments. With over a century of engineering expertise, the company continues to lead innovation in connectivity solutions across multiple industries worldwide. | Operating on an international scale, Bulgin serves a diverse customer base with high-performance products that meet rigorous st",0.0,0.0,0.0,3.17,0.0
40,AutoPCB,Stand G6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTcwODU=,https://autopcb.app/,AutoPCB,200,3.144,3.0,0.412,Low,software,software_data: software,"AutoPCB | Information | AutoPCB makes designing in new ICs faster with dynamic datasheets. Our software makes electronic product development faster by eliminating the bottleneck of complex component datasheets. Engineers enter their application requirements and instantly receive a tailored reference design, complete with an optimized schematic and Bill of Materials ready to export. Less time buried in documentation. More time building. | Social media | Contact details | https://autopcb.app/ | Pr",0.0,0.0,0.0,3.0,0.0
41,3Point1 Developments,Stand D11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDQ=,https://3point1.design,3Point1 Developments,200,3.112,3.0,0.319,Low,software,software_data: software,"3Point1 Developments | Information | Working with commercial clients, our goal is to deliver complete innovative electronic product design in a simple and efficient way. | Social media | Contact details | https://3point1.design | United Kingdom | Team | JL James Lamb Design Director 3Point1 Developments | JH Jon Hawkins Technical Director 3Point1 Developments | LA Liliana Alexandre Product Designer 3Point1 Developments | PW Peter Wrigley Software Director 3Point1 Developments | SE Steve Entwistl",0.0,0.0,0.0,3.0,0.0
42,Atlas Procurement Solution,Stand C9,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTk=,https://www.atlasprocurementsolution.com,Atlas Procurement Solution,200,3.096,3.0,0.275,Low,software,software_data: software,"Atlas Procurement Solution | Products & services | Team | Information | We work with organisations to strengthen sourcing, supplier management, and cost control through practical, experience-led approaches. The focus is on identifying where value is being lost, addressing structural inefficiencies, and putting in place processes that are sustainable over time. | Our work draws on a global supplier network and hands-on experience across contract manufacturing, electronic components, raw materials",0.0,0.0,0.0,3.0,0.0
